product_name	category	quantity	price	customer_id	store_id
Laptop	Electronics	1	899.99	CUST0001	STORE01
T-Shirt	Clothing	2	24.99	CUST0002	STORE02
Coffee Maker	Kitchen	1	89.99	CUST0003	STORE03
Running Shoes	Sports	1	119.99	CUST0004	STORE04
Novel	Books	3	12.99	CUST0005	STORE05
Smartphone	Electronics	1	599.99	CUST0006	STORE01
Jeans	Clothing	1	59.99	CUST0007	STORE02
Blender	Kitchen	1	69.99	CUST0008	STORE03
Yoga Mat	Sports	1	29.99	CUST0009	STORE04
Textbook	Books	1	89.99	CUST0010	STORE05
Tablet	Electronics	1	399.99	CUST0011	STORE01
Dress	Clothing	1	49.99	CUST0012	STORE02
Microwave	Kitchen	1	129.99	CUST0013	STORE03
Basketball	Sports	1	29.99	CUST0014	STORE04
Cookbook	Books	1	24.99	CUST0015	STORE05
Headphones	Electronics	1	149.99	CUST0016	STORE01
Jacket	Clothing	1	89.99	CUST0017	STORE02
Toaster	Kitchen	1	49.99	CUST0018	STORE03
Water Bottle	Sports	2	18.99	CUST0019	STORE04
Magazine	Books	4	6.99	CUST0020	STORE05
Smart Watch	Electronics	1	299.99	CUST0021	STORE01
Sneakers	Clothing	1	89.99	CUST0022	STORE02
Coffee Mug	Kitchen	2	12.99	CUST0023	STORE03
Tennis Racket	Sports	1	79.99	CUST0024	STORE04
Dictionary	Books	1	19.99	CUST0025	STORE05
Wireless Earbuds	Electronics	1	99.99	CUST0026	STORE01
Sweater	Clothing	1	54.99	CUST0027	STORE02
Dinner Set	Kitchen	1	69.99	CUST0028	STORE03
Dumbbell Set	Sports	1	89.99	CUST0029	STORE04
Novel	Books	2	16.99	CUST0030	STORE05
Gaming Console	Electronics	1	399.99	CUST0031	STORE01
Shorts	Clothing	3	24.99	CUST0032	STORE02
Kitchen Knife Set	Kitchen	1	89.99	CUST0033	STORE03
Fitness Tracker	Sports	1	99.99	CUST0034	STORE04
Magazine	Books	3	4.99	CUST0035	STORE05
TV	Electronics	1	699.99	CUST0036	STORE01
T-Shirt	Clothing	2	19.99	CUST0037	STORE02
Coffee Maker	Kitchen	1	149.99	CUST0038	STORE03
Running Shoes	Sports	1	159.99	CUST0039	STORE04
Textbook	Books	1	129.99	CUST0040	STORE05
Laptop	Electronics	1	1299.99	CUST0041	STORE01
Jeans	Clothing	2	79.99	CUST0042	STORE02
Blender	Kitchen	1	39.99	CUST0043	STORE03
Yoga Mat	Sports	1	39.99	CUST0044	STORE04
Cookbook	Books	1	29.99	CUST0045	STORE05
Smartphone	Electronics	1	799.99	CUST0046	STORE01
Dress	Clothing	1	79.99	CUST0047	STORE02
Microwave	Kitchen	1	199.99	CUST0048	STORE03
Basketball	Sports	1	39.99	CUST0049	STORE04
Novel	Books	1	9.99	CUST0050	STORE05
Tablet	Electronics	1	599.99	CUST0051	STORE01
Jacket	Clothing	1	129.99	CUST0052	STORE02
Toaster	Kitchen	1	79.99	CUST0053	STORE03
Water Bottle	Sports	1	24.99	CUST0054	STORE04
Dictionary	Books	1	24.99	CUST0055	STORE05
Headphones	Electronics	1	299.99	CUST0056	STORE01
Sneakers	Clothing	1	159.99	CUST0057	STORE02
Coffee Mug	Kitchen	6	15.99	CUST0058	STORE03
Tennis Racket	Sports	1	119.99	CUST0059	STORE04
Magazine	Books	2	6.99	CUST0060	STORE05
Smart Watch	Electronics	1	399.99	CUST0061	STORE01
Sweater	Clothing	1	74.99	CUST0062	STORE02
Dinner Set	Kitchen	1	99.99	CUST0063	STORE03
Dumbbell Set	Sports	1	149.99	CUST0064	STORE04
Textbook	Books	1	49.99	CUST0065	STORE05
Wireless Earbuds	Electronics	1	199.99	CUST0066	STORE01
Shorts	Clothing	2	34.99	CUST0067	STORE02
Kitchen Knife Set	Kitchen	1	129.99	CUST0068	STORE03
Fitness Tracker	Sports	1	149.99	CUST0069	STORE04
Novel	Books	3	12.99	CUST0070	STORE05
Gaming Console	Electronics	1	499.99	CUST0071	STORE01
T-Shirt	Clothing	3	29.99	CUST0072	STORE02
Coffee Maker	Kitchen	1	49.99	CUST0073	STORE03
Running Shoes	Sports	1	79.99	CUST0074	STORE04
Cookbook	Books	1	19.99	CUST0075	STORE05
TV	Electronics	1	999.99	CUST0076	STORE01
Jeans	Clothing	1	39.99	CUST0077	STORE02
Blender	Kitchen	1	99.99	CUST0078	STORE03
Yoga Mat	Sports	1	19.99	CUST0079	STORE04
Magazine	Books	4	4.99	CUST0080	STORE05
Laptop	Electronics	1	699.99	CUST0081	STORE01
Dress	Clothing	1	29.99	CUST0082	STORE02
Microwave	Kitchen	1	89.99	CUST0083	STORE03
Basketball	Sports	1	19.99	CUST0084	STORE04
Dictionary	Books	1	14.99	CUST0085	STORE05
Smartphone	Electronics	1	399.99	CUST0086	STORE01
Jacket	Clothing	1	49.99	CUST0087	STORE02
Toaster	Kitchen	1	29.99	CUST0088	STORE03
Water Bottle	Sports	2	12.99	CUST0089	STORE04
Textbook	Books	1	89.99	CUST0090	STORE05
Tablet	Electronics	1	249.99	CUST0091	STORE01
Sneakers	Clothing	1	59.99	CUST0092	STORE02
Coffee Mug	Kitchen	4	9.99	CUST0093	STORE03
Tennis Racket	Sports	1	39.99	CUST0094	STORE04
Novel	Books	2	16.99	CUST0095	STORE05
Headphones	Electronics	1	79.99	CUST0096	STORE01
Sweater	Clothing	1	34.99	CUST0097	STORE02
Dinner Set	Kitchen	1	39.99	CUST0098	STORE03
Dumbbell Set	Sports	1	49.99	CUST0099	STORE04
Cookbook	Books	1	24.99	CUST0100	STORE05
Smart Watch	Electronics	1	199.99	CUST0101	STORE06
T-Shirt	Clothing	2	24.99	CUST0102	STORE07
Kitchen Knife Set	Kitchen	1	49.99	CUST0103	STORE08
Fitness Tracker	Sports	1	49.99	CUST0104	STORE09
Magazine	Books	3	6.99	CUST0105	STORE10
Wireless Earbuds	Electronics	1	49.99	CUST0106	STORE06
Shorts	Clothing	3	24.99	CUST0107	STORE07
Coffee Maker	Kitchen	1	89.99	CUST0108	STORE08
Running Shoes	Sports	1	89.99	CUST0109	STORE09
Dictionary	Books	1	19.99	CUST0110	STORE10
Gaming Console	Electronics	1	299.99	CUST0111	STORE06
Jeans	Clothing	2	59.99	CUST0112	STORE07
Blender	Kitchen	1	69.99	CUST0113	STORE08
Yoga Mat	Sports	1	29.99	CUST0114	STORE09
Textbook	Books	1	49.99	CUST0115	STORE10
TV	Electronics	1	399.99	CUST0116	STORE06
Dress	Clothing	1	49.99	CUST0117	STORE07
Microwave	Kitchen	1	129.99	CUST0118	STORE08
Basketball	Sports	1	29.99	CUST0119	STORE09
Novel	Books	1	12.99	CUST0120	STORE10
Laptop	Electronics	1	1599.99	CUST0121	STORE06
Jacket	Clothing	1	89.99	CUST0122	STORE07
Toaster	Kitchen	1	49.99	CUST0123	STORE08
Water Bottle	Sports	1	18.99	CUST0124	STORE09
Cookbook	Books	1	29.99	CUST0125	STORE10
Smartphone	Electronics	1	999.99	CUST0126	STORE06
Sneakers	Clothing	1	119.99	CUST0127	STORE07
Coffee Mug	Kitchen	2	12.99	CUST0128	STORE08
Tennis Racket	Sports	1	79.99	CUST0129	STORE09
Magazine	Books	2	4.99	CUST0130	STORE10
Tablet	Electronics	1	399.99	CUST0131	STORE06
Sweater	Clothing	1	54.99	CUST0132	STORE07
Dinner Set	Kitchen	1	69.99	CUST0133	STORE08
Dumbbell Set	Sports	1	89.99	CUST0134	STORE09
Dictionary	Books	1	24.99	CUST0135	STORE10
Headphones	Electronics	1	149.99	CUST0136	STORE06
Shorts	Clothing	2	34.99	CUST0137	STORE07
Kitchen Knife Set	Kitchen	1	89.99	CUST0138	STORE08
Fitness Tracker	Sports	1	99.99	CUST0139	STORE09
Textbook	Books	1	129.99	CUST0140	STORE10
Smart Watch	Electronics	1	299.99	CUST0141	STORE11
T-Shirt	Clothing	3	19.99	CUST0142	STORE12
Coffee Maker	Kitchen	1	149.99	CUST0143	STORE13
Running Shoes	Sports	1	159.99	CUST0144	STORE14
Novel	Books	3	16.99	CUST0145	STORE15
Wireless Earbuds	Electronics	1	199.99	CUST0146	STORE11
Jeans	Clothing	1	79.99	CUST0147	STORE12
Blender	Kitchen	1	99.99	CUST0148	STORE13
Yoga Mat	Sports	1	39.99	CUST0149	STORE14
Cookbook	Books	1	19.99	CUST0150	STORE15
Gaming Console	Electronics	1	399.99	CUST0151	STORE11
Dress	Clothing	1	29.99	CUST0152	STORE12
Microwave	Kitchen	1	199.99	CUST0153	STORE13
Basketball	Sports	1	39.99	CUST0154	STORE14
Magazine	Books	4	6.99	CUST0155	STORE15
TV	Electronics	1	1499.99	CUST0156	STORE11
Jacket	Clothing	1	129.99	CUST0157	STORE12
Toaster	Kitchen	1	79.99	CUST0158	STORE13
Water Bottle	Sports	2	24.99	CUST0159	STORE14
Dictionary	Books	1	14.99	CUST0160	STORE15
Laptop	Electronics	1	899.99	CUST0161	STORE11
Sneakers	Clothing	1	89.99	CUST0162	STORE12
Coffee Mug	Kitchen	6	15.99	CUST0163	STORE13
Tennis Racket	Sports	1	119.99	CUST0164	STORE14
Textbook	Books	1	89.99	CUST0165	STORE15
Smartphone	Electronics	1	599.99	CUST0166	STORE11
Sweater	Clothing	1	74.99	CUST0167	STORE12
Dinner Set	Kitchen	1	99.99	CUST0168	STORE13
Dumbbell Set	Sports	1	149.99	CUST0169	STORE14
Novel	Books	2	12.99	CUST0170	STORE15
Tablet	Electronics	1	599.99	CUST0171	STORE11
Shorts	Clothing	3	24.99	CUST0172	STORE12
Kitchen Knife Set	Kitchen	1	129.99	CUST0173	STORE13
Fitness Tracker	Sports	1	149.99	CUST0174	STORE14
Cookbook	Books	1	24.99	CUST0175	STORE15
Headphones	Electronics	1	299.99	CUST0176	STORE16
T-Shirt	Clothing	2	29.99	CUST0177	STORE17
Coffee Maker	Kitchen	1	49.99	CUST0178	STORE18
Running Shoes	Sports	1	119.99	CUST0179	STORE19
Magazine	Books	3	4.99	CUST0180	STORE20
Smart Watch	Electronics	1	399.99	CUST0181	STORE16
Jeans	Clothing	2	39.99	CUST0182	STORE17
Blender	Kitchen	1	39.99	CUST0183	STORE18
Yoga Mat	Sports	1	19.99	CUST0184	STORE19
Dictionary	Books	1	19.99	CUST0185	STORE20
Wireless Earbuds	Electronics	1	49.99	CUST0186	STORE16
Dress	Clothing	1	79.99	CUST0187	STORE17
Microwave	Kitchen	1	89.99	CUST0188	STORE18
Basketball	Sports	1	19.99	CUST0189	STORE19
Textbook	Books	1	49.99	CUST0190	STORE20
Gaming Console	Electronics	1	499.99	CUST0191	STORE16
Jacket	Clothing	1	49.99	CUST0192	STORE17
Toaster	Kitchen	1	29.99	CUST0193	STORE18
Water Bottle	Sports	1	12.99	CUST0194	STORE19
Novel	Books	1	9.99	CUST0195	STORE20
TV	Electronics	1	699.99	CUST0196	STORE16
Sneakers	Clothing	1	59.99	CUST0197	STORE17
Coffee Mug	Kitchen	4	9.99	CUST0198	STORE18
Tennis Racket	Sports	1	39.99	CUST0199	STORE19
Cookbook	Books	1	29.99	CUST0200	STORE20
Laptop	Electronics	1	1299.99	CUST0201	STORE16
Sweater	Clothing	1	34.99	CUST0202	STORE17
Dinner Set	Kitchen	1	39.99	CUST0203	STORE18
Dumbbell Set	Sports	1	49.99	CUST0204	STORE19
Magazine	Books	2	6.99	CUST0205	STORE20
Smartphone	Electronics	1	799.99	CUST0206	STORE16
Shorts	Clothing	2	34.99	CUST0207	STORE17
Kitchen Knife Set	Kitchen	1	49.99	CUST0208	STORE18
Fitness Tracker	Sports	1	49.99	CUST0209	STORE19
Dictionary	Books	1	24.99	CUST0210	STORE20
Tablet	Electronics	1	249.99	CUST0211	STORE16
T-Shirt	Clothing	3	24.99	CUST0212	STORE17
Coffee Maker	Kitchen	1	89.99	CUST0213	STORE18
Running Shoes	Sports	1	79.99	CUST0214	STORE19
Textbook	Books	1	129.99	CUST0215	STORE20
Headphones	Electronics	1	79.99	CUST0216	STORE01
Jeans	Clothing	1	59.99	CUST0217	STORE02
Blender	Kitchen	1	69.99	CUST0218	STORE03
Yoga Mat	Sports	1	29.99	CUST0219	STORE04
Novel	Books	3	12.99	CUST0220	STORE05
Smart Watch	Electronics	1	199.99	CUST0221	STORE01
Dress	Clothing	1	49.99	CUST0222	STORE02
Microwave	Kitchen	1	129.99	CUST0223	STORE03
Basketball	Sports	1	29.99	CUST0224	STORE04
Cookbook	Books	1	19.99	CUST0225	STORE05
Wireless Earbuds	Electronics	1	99.99	CUST0226	STORE01
Jacket	Clothing	1	89.99	CUST0227	STORE02
Toaster	Kitchen	1	49.99	CUST0228	STORE03
Water Bottle	Sports	2	18.99	CUST0229	STORE04
Magazine	Books	4	4.99	CUST0230	STORE05
Gaming Console	Electronics	1	299.99	CUST0231	STORE01
Sneakers	Clothing	1	119.99	CUST0232	STORE02
Coffee Mug	Kitchen	2	12.99	CUST0233	STORE03
Tennis Racket	Sports	1	79.99	CUST0234	STORE04
Dictionary	Books	1	14.99	CUST0235	STORE05
TV	Electronics	1	999.99	CUST0236	STORE01
Sweater	Clothing	1	54.99	CUST0237	STORE02
Dinner Set	Kitchen	1	69.99	CUST0238	STORE03
Dumbbell Set	Sports	1	89.99	CUST0239	STORE04
Textbook	Books	1	89.99	CUST0240	STORE05
Laptop	Electronics	1	699.99	CUST0241	STORE01
Shorts	Clothing	3	24.99	CUST0242	STORE02
Kitchen Knife Set	Kitchen	1	89.99	CUST0243	STORE03
Fitness Tracker	Sports	1	99.99	CUST0244	STORE04
Novel	Books	2	16.99	CUST0245	STORE05
Smartphone	Electronics	1	399.99	CUST0246	STORE01
T-Shirt	Clothing	2	19.99	CUST0247	STORE02
Coffee Maker	Kitchen	1	149.99	CUST0248	STORE03
Running Shoes	Sports	1	159.99	CUST0249	STORE04
Cookbook	Books	1	24.99	CUST0250	STORE05
Tablet	Electronics	1	399.99	CUST0251	STORE06
Jeans	Clothing	2	79.99	CUST0252	STORE07
Blender	Kitchen	1	99.99	CUST0253	STORE08
Yoga Mat	Sports	1	39.99	CUST0254	STORE09
Magazine	Books	3	6.99	CUST0255	STORE10
Headphones	Electronics	1	149.99	CUST0256	STORE06
Dress	Clothing	1	29.99	CUST0257	STORE07
Microwave	Kitchen	1	199.99	CUST0258	STORE08
Basketball	Sports	1	39.99	CUST0259	STORE09
Dictionary	Books	1	19.99	CUST0260	STORE10
Smart Watch	Electronics	1	299.99	CUST0261	STORE06
Jacket	Clothing	1	129.99	CUST0262	STORE07
Toaster	Kitchen	1	79.99	CUST0263	STORE08
Water Bottle	Sports	1	24.99	CUST0264	STORE09
Textbook	Books	1	49.99	CUST0265	STORE10
Wireless Earbuds	Electronics	1	199.99	CUST0266	STORE06
Sneakers	Clothing	1	89.99	CUST0267	STORE07
Coffee Mug	Kitchen	6	15.99	CUST0268	STORE08
Tennis Racket	Sports	1	119.99	CUST0269	STORE09
Novel	Books	1	12.99	CUST0270	STORE10
Gaming Console	Electronics	1	399.99	CUST0271	STORE06
Sweater	Clothing	1	74.99	CUST0272	STORE07
Dinner Set	Kitchen	1	99.99	CUST0273	STORE08
Dumbbell Set	Sports	1	149.99	CUST0274	STORE09
Cookbook	Books	1	29.99	CUST0275	STORE10
TV	Electronics	1	1499.99	CUST0276	STORE06
Shorts	Clothing	2	34.99	CUST0277	STORE07
Kitchen Knife Set	Kitchen	1	129.99	CUST0278	STORE08
Fitness Tracker	Sports	1	149.99	CUST0279	STORE09
Magazine	Books	2	4.99	CUST0280	STORE10
Laptop	Electronics	1	1599.99	CUST0281	STORE11
T-Shirt	Clothing	3	29.99	CUST0282	STORE12
Coffee Maker	Kitchen	1	49.99	CUST0283	STORE13
Running Shoes	Sports	1	79.99	CUST0284	STORE14
Dictionary	Books	1	24.99	CUST0285	STORE15
Smartphone	Electronics	1	999.99	CUST0286	STORE11
Jeans	Clothing	1	39.99	CUST0287	STORE12
Blender	Kitchen	1	39.99	CUST0288	STORE13
Yoga Mat	Sports	1	19.99	CUST0289	STORE14
Textbook	Books	1	129.99	CUST0290	STORE15
Tablet	Electronics	1	599.99	CUST0291	STORE11
Dress	Clothing	1	79.99	CUST0292	STORE12
Microwave	Kitchen	1	89.99	CUST0293	STORE13
Basketball	Sports	1	19.99	CUST0294	STORE14
Novel	Books	3	16.99	CUST0295	STORE15
Headphones	Electronics	1	299.99	CUST0296	STORE11
Jacket	Clothing	1	49.99	CUST0297	STORE12
Toaster	Kitchen	1	29.99	CUST0298	STORE13
Water Bottle	Sports	2	12.99	CUST0299	STORE14
Cookbook	Books	1	19.99	CUST0300	STORE15
Smart Watch	Electronics	1	399.99	CUST0301	STORE11
Sneakers	Clothing	1	159.99	CUST0302	STORE12
Coffee Mug	Kitchen	4	9.99	CUST0303	STORE13
Tennis Racket	Sports	1	39.99	CUST0304	STORE14
Magazine	Books	4	6.99	CUST0305	STORE15
Wireless Earbuds	Electronics	1	49.99	CUST0306	STORE11
Sweater	Clothing	1	34.99	CUST0307	STORE12
Dinner Set	Kitchen	1	39.99	CUST0308	STORE13
Dumbbell Set	Sports	1	49.99	CUST0309	STORE14
Dictionary	Books	1	14.99	CUST0310	STORE15
Gaming Console	Electronics	1	499.99	CUST0311	STORE16
Shorts	Clothing	3	24.99	CUST0312	STORE17
Kitchen Knife Set	Kitchen	1	49.99	CUST0313	STORE18
Fitness Tracker	Sports	1	49.99	CUST0314	STORE19
Textbook	Books	1	89.99	CUST0315	STORE20
TV	Electronics	1	399.99	CUST0316	STORE16
T-Shirt	Clothing	2	24.99	CUST0317	STORE17
Coffee Maker	Kitchen	1	89.99	CUST0318	STORE18
Running Shoes	Sports	1	119.99	CUST0319	STORE19
Novel	Books	2	12.99	CUST0320	STORE20
Laptop	Electronics	1	899.99	CUST0321	STORE16
Jeans	Clothing	2	59.99	CUST0322	STORE17
Blender	Kitchen	1	69.99	CUST0323	STORE18
Yoga Mat	Sports	1	29.99	CUST0324	STORE19
Cookbook	Books	1	24.99	CUST0325	STORE20
Smartphone	Electronics	1	599.99	CUST0326	STORE16
Dress	Clothing	1	49.99	CUST0327	STORE17
Microwave	Kitchen	1	129.99	CUST0328	STORE18
Basketball	Sports	1	29.99	CUST0329	STORE19
Magazine	Books	3	4.99	CUST0330	STORE20
Tablet	Electronics	1	249.99	CUST0331	STORE16
Jacket	Clothing	1	89.99	CUST0332	STORE17
Toaster	Kitchen	1	49.99	CUST0333	STORE18
Water Bottle	Sports	1	18.99	CUST0334	STORE19
Dictionary	Books	1	19.99	CUST0335	STORE20
Headphones	Electronics	1	79.99	CUST0336	STORE01
Sneakers	Clothing	1	59.99	CUST0337	STORE02
Coffee Mug	Kitchen	2	12.99	CUST0338	STORE03
Tennis Racket	Sports	1	79.99	CUST0339	STORE04
Textbook	Books	1	49.99	CUST0340	STORE05
Smart Watch	Electronics	1	199.99	CUST0341	STORE01
Sweater	Clothing	1	54.99	CUST0342	STORE02
Dinner Set	Kitchen	1	69.99	CUST0343	STORE03
Dumbbell Set	Sports	1	89.99	CUST0344	STORE04
Novel	Books	1	9.99	CUST0345	STORE05
Wireless Earbuds	Electronics	1	99.99	CUST0346	STORE01
Shorts	Clothing	2	34.99	CUST0347	STORE02
Kitchen Knife Set	Kitchen	1	89.99	CUST0348	STORE03
Fitness Tracker	Sports	1	99.99	CUST0349	STORE04
Cookbook	Books	1	29.99	CUST0350	STORE05
Gaming Console	Electronics	1	299.99	CUST0351	STORE01
T-Shirt	Clothing	3	19.99	CUST0352	STORE02
Coffee Maker	Kitchen	1	149.99	CUST0353	STORE03
Running Shoes	Sports	1	159.99	CUST0354	STORE04
Magazine	Books	2	6.99	CUST0355	STORE05
TV	Electronics	1	699.99	CUST0356	STORE01
Jeans	Clothing	1	79.99	CUST0357	STORE02
Blender	Kitchen	1	99.99	CUST0358	STORE03
Yoga Mat	Sports	1	39.99	CUST0359	STORE04
Dictionary	Books	1	24.99	CUST0360	STORE05
Laptop	Electronics	1	1299.99	CUST0361	STORE06
Dress	Clothing	1	29.99	CUST0362	STORE07
Microwave	Kitchen	1	199.99	CUST0363	STORE08
Basketball	Sports	1	39.99	CUST0364	STORE09
Textbook	Books	1	129.99	CUST0365	STORE10
Smartphone	Electronics	1	799.99	CUST0366	STORE06
Jacket	Clothing	1	129.99	CUST0367	STORE07
Toaster	Kitchen	1	79.99	CUST0368	STORE08
Water Bottle	Sports	2	24.99	CUST0369	STORE09
Novel	Books	3	16.99	CUST0370	STORE10
Tablet	Electronics	1	399.99	CUST0371	STORE06
Sneakers	Clothing	1	119.99	CUST0372	STORE07
Coffee Mug	Kitchen	6	15.99	CUST0373	STORE08
Tennis Racket	Sports	1	119.99	CUST0374	STORE09
Cookbook	Books	1	19.99	CUST0375	STORE10
Headphones	Electronics	1	149.99	CUST0376	STORE06
Sweater	Clothing	1	74.99	CUST0377	STORE07
Dinner Set	Kitchen	1	99.99	CUST0378	STORE08
Dumbbell Set	Sports	1	149.99	CUST0379	STORE09
Magazine	Books	4	4.99	CUST0380	STORE10
Smart Watch	Electronics	1	299.99	CUST0381	STORE06
Shorts	Clothing	3	24.99	CUST0382	STORE07
Kitchen Knife Set	Kitchen	1	129.99	CUST0383	STORE08
Fitness Tracker	Sports	1	149.99	CUST0384	STORE09
Dictionary	Books	1	14.99	CUST0385	STORE10
Wireless Earbuds	Electronics	1	199.99	CUST0386	STORE11
T-Shirt	Clothing	2	29.99	CUST0387	STORE12
Coffee Maker	Kitchen	1	49.99	CUST0388	STORE13
Running Shoes	Sports	1	79.99	CUST0389	STORE14
Textbook	Books	1	89.99	CUST0390	STORE15
Gaming Console	Electronics	1	399.99	CUST0391	STORE11
Jeans	Clothing	2	39.99	CUST0392	STORE12
Blender	Kitchen	1	39.99	CUST0393	STORE13
Yoga Mat	Sports	1	19.99	CUST0394	STORE14
Novel	Books	2	12.99	CUST0395	STORE15
TV	Electronics	1	999.99	CUST0396	STORE11
Dress	Clothing	1	79.99	CUST0397	STORE12
Microwave	Kitchen	1	89.99	CUST0398	STORE13
Basketball	Sports	1	19.99	CUST0399	STORE14
Cookbook	Books	1	24.99	CUST0400	STORE15
Laptop	Electronics	1	1599.99	CUST0401	STORE11
Jacket	Clothing	1	49.99	CUST0402	STORE12
